anchor,region,p_min,sstar,k_true,k_hat,n_scales_signal,gap1,gap2,beta_loc,levels
0.8060402684563759,2,0.0002,0.09,2,2,1,0.4697314758562507,,0.1843225249924514,-0.7759;-0.3061
0.8124832214765101,2,0.0002,0.4,3,3,1,0.4218773057751436,0.1922743176637933,0.1790299034182107,-0.7396;-0.3178;-0.1255
0.8189261744966443,2,0.0002,0.4,3,3,1,0.4190323991927085,0.1885154458567323,0.1638522200341155,-0.7243;-0.3053;-0.1167
0.8253691275167785,2,0.0002,0.4,3,4,1,0.0518713989953212,0.4021611681892001,0.102249130469263,-0.7098;-0.6579;-0.2558;-0.0590
0.8318120805369128,2,0.0002,0.4,3,3,1,0.0560201695307925,0.451531252935431,0.1422047463581725,-0.7373;-0.6813;-0.2298
0.838255033557047,2,0.0002,0.4,3,3,1,0.4222729785302225,0.1883694316030717,0.1414132906697067,-0.7147;-0.2925;-0.1041
0.8446979865771812,2,0.0002,0.4,3,3,1,0.4225301168271609,0.186747108101521,0.1629797738991471,-0.7292;-0.3066;-0.1199
0.8511409395973154,2,0.0002,0.4,3,4,1,0.4202485786350412,0.1672720537856886,0.2329569780750355,-0.7909;-0.3707;-0.2034;-0.1577
0.8575838926174496,2,0.0002,0.4,3,3,1,0.0512772559092965,0.4421320613395024,0.1584459449845914,-0.7470;-0.6957;-0.2536
0.8640268456375839,2,0.0002,0.4,3,3,1,0.4175940503062338,0.1959381727589192,0.1480395468912354,-0.7195;-0.3019;-0.1059
0.8704697986577181,2,0.0002,0.4,3,4,1,0.0516534054599007,0.3929013252619606,0.0628881632716499,-0.6711;-0.6195;-0.2266;-0.0327
0.8769127516778523,2,0.0002,0.4,3,3,1,0.4154177764686545,0.1961618382838326,0.1711345539609002,-0.7399;-0.3244;-0.1283
0.8833557046979865,2,0.0002,0.4,3,4,1,0.0536567680245886,0.3856322256164128,0.1728628352549468,-0.7615;-0.7078;-0.3222;-0.1257
0.8897986577181208,2,0.0002,0.4,3,3,1,0.0615229422509785,0.4460650547032084,0.1682892236713848,-0.7687;-0.7072;-0.2611
0.896241610738255,2,0.0002,0.4,3,3,1,0.0548791962132749,0.4395599920457113,0.1190544437434075,-0.7244;-0.6695;-0.2300
0.9026845637583892,2,0.0002,0.4,3,3,1,0.056540173503064,0.4329183271899132,0.2181340668097732,-0.8122;-0.7556;-0.3227
0.9091275167785234,2,0.0002,0.4,3,4,1,0.0598716535128872,0.3864766112172113,0.1526961363096851,-0.7577;-0.6978;-0.3113;-0.1177
0.9155704697986576,2,0.0002,0.4,3,4,1,0.0553222675337671,0.3918893072096118,0.1770225468051147,-0.7792;-0.7239;-0.3320;-0.1364
0.922013422818792,2,0.0002,0.4,3,4,1,0.0586601432995718,0.3924280684564018,0.1404662629153499,-0.7517;-0.6930;-0.3006;-0.1049
0.9284563758389262,2,0.0002,0.4,3,4,1,0.0527551889431078,0.3916620802580186,0.1775963533270714,-0.7797;-0.7269;-0.3353;-0.1391
0.9348993288590604,2,0.0002,0.4,3,3,1,0.4129374797916406,0.1950025839036579,0.1653964040978403,-0.7378;-0.3248;-0.1298
0.9413422818791948,2,0.0002,0.4,3,3,1,0.0513688261962599,0.4330270616450318,0.121221824410398,-0.7261;-0.6747;-0.2417
0.9477852348993288,2,0.0002,0.4,3,4,1,0.0588359088001287,0.4005388603305623,0.1443012596285187,-0.7689;-0.7100;-0.3095;-0.1202
0.9542281879194632,2,0.0002,0.4,3,4,1,0.0551217103562706,0.387533009912642,0.1289552093637964,-0.7387;-0.6835;-0.2960;-0.0989
0.9606711409395972,2,0.0002,0.4,3,3,1,0.0545363176470972,0.4427617780435637,0.1275119758645754,-0.7365;-0.6820;-0.2392
0.9671140939597316,2,0.0002,0.4,3,3,1,0.0548924931292934,0.420974811536923,0.1416750629586057,-0.7389;-0.6840;-0.2630
0.9735570469798658,2,0.0002,0.4,3,4,1,0.0596612506197795,0.3924428051784805,0.1415141560103949,-0.7606;-0.7009;-0.3085;-0.1182
0.98,2,0.0002,0.4,3,4,1,0.0586761612917404,0.3883649180297716,0.157754001655712,-0.7696;-0.7109;-0.3226;-0.1272
