theta_deg,dt_ratio,rep,N,axis_true,thr_perm,null_max_med,obs_max_med,fire_perm,fire_boot,ucb_med,correct_axis,t_hat_med,t_err_med,ci_coverage,ci_width_med,n_pool,fire_equiv_5,fire_equiv_10,fire_equiv_15
0.0,1.0,2,100,8,0.9989178736127498,0.7886200994647551,0.7750336359228769,0.025,0.1666666666666666,80.32923742864747,0.885,3.319967302001463,1.6800326979985372,0.0166666666666666,5.164419110362623,219,0.0,0.0,0.0
0.0,1.0,2,200,8,0.997160997112938,0.7969906685096586,0.7925377235660525,0.0,0.0166666666666666,81.69628119345543,0.995,3.223331898871576,1.7766681011284249,0.0,4.85685628291421,219,0.0,0.0,0.0
0.0,1.0,3,25,2,0.9992774523214968,0.7786884276375334,0.875940971798287,0.035,0.4,70.26276086351777,0.865,3.8437395741178566,1.1562604258821434,0.1833333333333333,5.883539347856791,220,0.0,0.0,0.0
0.0,1.0,3,50,2,0.9983622975726428,0.868655376738354,0.9199156980923294,0.125,0.4833333333333333,63.91866574437612,0.935,3.628215286248393,1.3717847137516068,0.0,4.921939325768873,220,0.0,0.0,0.0
0.0,1.0,3,100,2,0.9973919220711952,0.8988684640198327,0.9579668146090324,0.145,0.5166666666666667,60.12474039308768,0.98,3.5629295868757893,1.437070413124211,0.0,4.647371989113131,220,0.0,0.0,0.0
0.0,1.0,3,200,2,0.999014690580173,0.9184216492011366,0.9733340868186344,0.025,0.9333333333333332,46.02838026988994,1.0,3.559502498668161,1.440497501331839,0.0,0.8564857154789318,220,0.0,0.0,0.0
0.0,1.0,4,25,14,0.9989158986033856,0.8140314930447277,0.8906592313686961,0.065,0.5333333333333333,64.3605872735851,0.87,3.885270359494625,1.1147296405053757,0.2166666666666666,3.3495077222348906,219,0.0,0.0,0.0
0.0,1.0,4,50,14,0.9989564538463244,0.8446948494854134,0.9097029971443548,0.045,0.3666666666666666,74.23511516968111,0.87,3.51582646052516,1.4841735394748403,0.05,6.086110404243884,219,0.0,0.0,0.0
0.0,1.0,4,100,14,0.9996511528952168,0.8864877517427612,0.9598283669365848,0.055,0.4333333333333333,67.65226903116039,0.94,3.495168978975217,1.5048310210247833,0.0,4.9895255462125,219,0.0,0.0,0.0
0.0,1.0,4,200,14,0.9992932738219316,0.9219925919177264,0.995088135653543,0.195,0.5666666666666667,62.74901617002655,1.0,3.426836575779588,1.5731634242204122,0.0,2.9217170049705263,219,0.0,0.0,0.0
0.0,1.5,0,25,18,0.9985589934339372,0.7636432568072326,0.980934109214192,0.145,0.6666666666666666,44.44622424752773,0.975,4.039065552107809,0.9609344478921904,0.1,1.590395986085859,220,0.0,0.0,0.0166666666666666
0.0,1.5,0,50,18,0.997901383838262,0.786286355846022,0.9902176911594862,0.23,0.9666666666666668,33.95889245974108,1.0,3.928091572473655,1.071908427526345,0.0,1.151212752331248,220,0.0,0.0,0.0
0.0,1.5,0,100,18,0.9928018600508992,0.7676661867284925,0.9968430905230912,0.7,1.0,21.003669626588437,1.0,3.906311443991923,1.093688556008077,0.0,0.8122403467650556,220,0.0,0.0,0.1
0.0,1.5,0,200,18,0.9938424765004232,0.7298741716144104,0.9994994925899278,0.99,1.0,14.50308367230972,1.0,3.831108571178957,1.168891428821043,0.0,0.6294944640431388,220,0.0,0.0,0.6
0.0,1.5,1,25,12,0.9923175068372636,0.7048620095397806,0.974775891628736,0.265,0.7166666666666667,52.28655351608506,0.97,3.931584758369942,1.0684152416300583,0.1666666666666666,1.8741272151851,220,0.0,0.0,0.0
0.0,1.5,1,50,12,0.9979308142439072,0.7176658313277487,0.9853592902590308,0.215,0.7666666666666667,34.393713228838486,0.985,3.851744301003039,1.148255698996961,0.0333333333333333,1.264330434161372,220,0.0,0.0,0.0333333333333333
0.0,1.5,1,100,12,0.9985394425240854,0.7504959079256615,0.9960292552911808,0.31,0.9833333333333332,26.52463992960335,1.0,3.733822467686508,1.266177532313492,0.0,0.907289482065012,220,0.0,0.0,0.0833333333333333
0.0,1.5,1,200,12,0.9928858770616118,0.6883773373616991,0.9996483020941952,1.0,1.0,16.299292616716706,1.0,3.691256617171677,1.3087433828283224,0.0,0.6589874429778944,220,0.0,0.0,0.2333333333333333
0.0,1.5,2,25,9,0.9783352992436434,0.6522906087798066,0.986666140462678,0.6,0.8166666666666667,44.67553167233662,0.99,4.119636594923672,0.880363405076328,0.15,1.8140962156771252,220,0.0,0.0,0.0166666666666666
0.0,1.5,2,50,9,0.9934228646780944,0.6269760976274228,0.9942624190877956,0.535,0.9333333333333332,30.332033930050088,0.995,3.996498816986581,1.0035011830134188,0.0166666666666666,1.20861964519517,220,0.0,0.0,0.0
0.0,1.5,2,100,9,0.9903144873292016,0.51924054820887,0.9983700078186936,0.855,1.0,17.75965364900874,1.0,3.9981832587001143,1.001816741299885,0.0,0.8606606123807174,220,0.0,0.0166666666666666,0.2333333333333333
0.0,1.5,2,200,9,0.9916172382220556,0.5300688599526018,0.9996730805792856,1.0,1.0,11.60401190473872,1.0,3.988908738380384,1.011091261619616,0.0,0.622251750958086,220,0.0,0.1166666666666666,0.9666666666666668
