sigma,dip_p,delta_hat,pi_cross,d_hat,pi_true,w_min,model,tau_obs,anchor,d_true,side
0.2,0.0,0.2518175746589978,0.36,0.07169175865023876,0.374,0.36000000000000104,gated,0.005,0.5756410256410256,0.07564102564102565,1
0.02,0.9983732752892176,0.002544238563812938,0.47312092038188236,0.0013485383529071718,0.0,0.47317688224855387,gated,0.005,0.4219230769230769,0.07807692307692309,-1
0.0632455532033676,0.0,0.28155077580321364,0.126,0.07244810130503866,0.118,0.126000000000001,gated,0.005,0.4219230769230769,0.07807692307692309,-1
0.2,0.0,0.2515980074225211,0.336,0.08468094447883655,0.356,0.336000000000001,gated,0.005,0.4219230769230769,0.07807692307692309,-1
0.02,1.0,0.006520238723515953,0.0765635424935434,0.028571454026112563,0.0,0.07660472254767739,gated,0.005,0.578076923076923,0.07807692307692309,1
0.0632455532033676,0.0,0.28212984698566224,0.103,0.07998292822862008,0.10599999999999998,0.103000000000001,gated,0.005,0.578076923076923,0.07807692307692309,1
0.2,0.0,0.25042776993319465,0.3459999999999983,0.07922847477854057,0.374,0.34599999999999936,gated,0.005,0.578076923076923,0.07807692307692309,1
0.02,0.9904761653169633,0.005172273840616255,0.36195011574656233,0.007065021207491307,0.0,0.36205729528636255,gated,0.005,0.4194871794871795,0.08051282051282052,-1
0.0632455532033676,0.0,0.2817613491761657,0.116,0.07559252601327779,0.105,0.11600000000000099,gated,0.005,0.4194871794871795,0.08051282051282052,-1
0.2,0.0,0.25023399026222004,0.333,0.08632884787679121,0.341,0.333000000000001,gated,0.005,0.4194871794871795,0.08051282051282052,-1
0.0632455532033676,0.0,0.28240381875712217,0.118,0.07494877143993176,0.09599999999999997,0.11800000000000099,gated,0.005,0.5805128205128205,0.08051282051282052,1
0.2,0.0,0.25323266573638886,0.3449999999783448,0.07977101314022249,0.33799999999999997,0.3449999999783459,gated,0.005,0.5805128205128205,0.08051282051282052,1
0.02,0.9900118133648037,0.005930469822856707,0.5378693134604643,-0.001901345953348025,0.0,0.46224837375802724,gated,0.005,0.41705128205128206,0.08294871794871796,-1
0.0632455532033676,0.0,0.2809153339616013,0.094,0.08326395464895141,0.098,0.094000000000001,gated,0.005,0.41705128205128206,0.08294871794871796,-1
0.2,0.0,0.24867277318086353,0.34499999999999964,0.07977101312846756,0.324,0.3450000000000007,gated,0.005,0.41705128205128206,0.08294871794871796,-1
0.02,0.7066989022817636,0.0054673298683148575,0.4274187764995837,0.0036589922914855343,0.0,0.4274219378079782,gated,0.005,0.5829487179487179,0.08294871794871796,1
0.0632455532033676,0.0,0.2813468169807587,0.087,0.08597997339334662,0.10299999999999998,0.087000000000001,gated,0.005,0.5829487179487179,0.08294871794871796,1
0.2,0.0,0.2513130101727664,0.30499999999999916,0.10201469139371944,0.33999999999999997,0.30500000000000016,gated,0.005,0.5829487179487179,0.08294871794871796,1
0.02,0.991470321200091,0.005957665616213276,0.4974933354117624,0.00012566635351925993,0.0,0.49742713753928874,gated,0.005,0.4146153846153846,0.08538461538461539,-1
0.0632455532033676,0.0,0.28127626350206536,0.079,0.089291974280692,0.088,0.079000000000001,gated,0.005,0.4146153846153846,0.08538461538461539,-1
0.2,0.0,0.2523720567175274,0.3499999999999999,0.07706409328151359,0.321,0.350000000000001,gated,0.005,0.4146153846153846,0.08538461538461539,-1
0.02,0.9944046044110608,0.005160170639226497,0.4891601398031652,0.000543496886726612,0.0,0.48915354361591923,gated,0.005,0.5853846153846154,0.08538461538461539,1
0.0632455532033676,0.0,0.28085349264211845,0.093,0.08364256898731763,0.10899999999999999,0.093000000000001,gated,0.005,0.5853846153846154,0.08538461538461539,1
