n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,idx,x1,x2,gated_side,dist
1,0.609,False,0.2640417565430452,,0.976000000000388,0,0.2640417565430452,0.022,False,False,gated,79,0.8550056555515414,0.9033539567098954,True,0.3833933565042848
2,0.0004,True,0.1428825468657023,0.8486188216389428,0.2668044653548095,1,0.2641353654204942,0.098,True,False,gated,80,0.2644166161403908,0.2257018246682217,False,0.2155171050492351
3,0.0002,True,0.2881260618216447,0.0376978483971168,0.505,1,0.2960623305834978,0.451,True,False,gated,81,0.1840669162523008,0.5417559846498038,False,0.0139793493528741
2,0.0002,True,0.2679770225127079,,0.864980363854329,0,0.2679770225127079,0.1929999999999999,True,False,gated,82,0.5709144808984279,0.7157685590546216,True,0.1424205886017441
1,0.0004,True,0.261320400268599,,0.9219999999992212,0,0.261320400268599,0.0849999999999999,True,False,gated,83,0.701500449256477,0.7932914431097746,True,0.2230745593907799
2,0.7946,False,0.1418217397913038,0.8218383703134541,0.6961926302042067,0,0.2583762872972295,0.034,False,False,gated,84,0.7317637895932532,0.912361561174039,True,0.3459297513365623
2,0.001,True,0.1443937568165277,0.8570064157663799,0.5970666121759913,0,0.2681401328057595,0.0829999999999999,True,False,gated,85,0.7282876650686275,0.7961892051832092,True,0.2335568012467132
3,0.0002,True,0.1452082626349837,0.8848649176357922,0.6206661984812791,0,0.27369795999241,0.2279999999999999,True,False,gated,86,0.3349413488487631,0.6386994053960807,True,0.1583594786308116
2,0.935,False,0.0223370031122758,,0.501323786638239,1,0.0223370031122758,0.011,False,False,gated,87,0.9712292833777731,0.931922389375608,True,0.4328795497351324
2,0.0002,True,0.2657175249786601,,0.1370000014894804,1,0.2657175249786601,0.115,True,False,gated,88,0.2875408533457951,0.2670193244509612,False,0.1686848077056345
2,0.133,False,0.1424357100888631,0.8557410888128613,0.7754421041049209,0,0.2643237997269957,0.047,False,False,gated,89,0.7064357355238475,0.8406005939502245,True,0.2701831042180526
2,0.4368,False,0.1382281039251105,0.9176367060425948,0.2967350543447681,0,0.26507128589438,0.046,False,False,gated,90,0.7136298211271659,0.1608926478664245,False,0.2950837833130891
2,0.0002,True,0.2649931685447342,,0.8400000000106227,0,0.2649931685447342,0.137,True,False,gated,91,0.7296516627700366,0.729177113939462,True,0.1715593255668741
3,0.0002,True,0.2958916400281639,0.0428514360385564,0.604,1,0.2980179609142062,0.476,True,False,gated,92,0.5950571123598177,0.5733945039623806,False,0.0009492384280881
2,0.0002,True,0.2705605782868346,,0.220999998538132,1,0.2705605782868346,0.206,True,False,gated,93,0.681093238428239,0.3369164185048872,False,0.1654433187823955
2,0.0002,True,0.2667150634455599,,0.8350000936983495,0,0.2667150634455599,0.159,True,False,gated,94,0.9255228141744032,0.7021891182587993,True,0.2154699300384422
3,0.0002,True,0.2977758839462863,0.0340272270410495,0.753,0,0.2977758839462863,0.352,True,False,gated,95,0.5225763484510008,0.5728447289082895,True,0.037373449656357
2,0.9354,False,0.00379726071954,,0.5280679716306313,1,0.00379726071954,0.009,False,False,gated,96,0.1750246199977376,0.0359763526428362,False,0.4249654322806141
3,0.0002,True,0.144387269235266,0.8746085940592093,0.2975580882244251,0,0.2706696157820452,0.13,True,False,gated,97,0.7359387684585456,0.2866181205061858,False,0.1732956384782771
2,0.9634,False,0.1410107807873667,0.8407932737538872,0.6849058003451349,0,0.2595716968010093,0.019,False,False,gated,98,0.1155173982291996,0.9090157240060986,True,0.3291259668569131
2,0.3834,False,0.1416791570192888,0.8366200654800647,0.2533987840786902,0,0.2602107826427632,0.052,True,False,gated,99,0.1510878442875726,0.1931904590975146,False,0.2976611145620947
1,0.3194,False,0.2678580771448373,,0.0349998802489125,1,0.2678580771448373,0.048,False,False,gated,100,0.6687419037294557,0.1323635297903338,False,0.3406733834617135
2,0.9742,False,0.0107999718675444,,0.2831473752794607,1,0.0107999718675444,0.011,False,False,gated,101,0.3487315567211273,0.0289246887180606,False,0.3918083265266467
3,0.0002,True,0.2829687974992809,0.0410859919860282,0.6675000440124301,0,0.2945948512456735,0.473,True,False,gated,102,0.4148237314559236,0.5033661950086231,True,0.061244928337101
2,0.0002,True,0.2663774836976028,,0.7959999929933304,0,0.2663774836976028,0.1959999999999999,True,False,gated,103,0.2642461970097725,0.6733373093768498,True,0.1396764671894603
2,0.4982,False,0.1365155896053448,0.8902953077830198,0.7404196411894685,0,0.258054778471106,0.04,False,False,gated,104,0.2320904469910356,0.8767923638793296,True,0.311667834047222
2,0.0002,True,0.2827118356284849,0.030771999489727,0.7250000000382962,0,0.2914114440902152,0.4469999999999999,True,False,gated,105,0.4040374150968659,0.5261858386087813,True,0.0855598710420483
3,0.0002,True,0.2968337082275958,0.0496814162654285,0.5779999878075137,0,0.3014541791996125,0.431,True,False,gated,106,0.0256743804944719,0.5358817323756517,True,0.0076556556956154
2,0.8546,False,0.0074076954612442,,0.6724348995316741,0,,0.01,False,False,gated,107,0.02957838877998,0.04653299279441,False,0.4544306412499208
2,0.0002,True,0.2842882858085921,0.0344554474766077,0.3475000024432211,1,0.2940835659085193,0.481,True,False,gated,108,0.5859622824790109,0.4870104253438618,False,0.0690480908760126
2,0.1134,False,0.1396094539707295,0.8811921788363782,0.7193105327028123,0,0.2626322129022349,0.051,True,False,gated,109,0.6368986327163582,0.825601386644724,True,0.245819263659252
2,0.9026,False,0.137841145863227,0.9145692108466288,0.2058469745709346,1,0.2639064138584683,0.035,False,False,gated,110,0.4293267292104459,0.1226853259716081,False,0.3012087569912484
1,0.9916,False,0.2642981828251676,,0.9679999998206006,0,0.2642981828251676,0.028,False,False,gated,111,0.3457394112595937,0.8843758602224577,True,0.3622980103400251
